factor,common_start_date,common_end_date,common_observations,method_return_correlation,same_sign_pct,portfolio_sort_avg_monthly_return,regression_avg_monthly_return,portfolio_sort_sharpe,regression_sharpe,qualitatively_similar
roe,2023-04-30,2026-05-31,38,0.8530111906686383,0.868421052631579,-0.0034218523992606102,0.002340180459168498,-0.15315770230826267,0.3866487543069073,True
pe,2023-04-30,2026-05-31,38,0.39959622608858575,0.7368421052631579,0.011016073410366405,0.000297525474081058,0.6192246439708035,0.06579616234468663,True
momentum,2001-06-30,2026-05-31,300,0.18999110300785735,0.86,0.0009741683401094902,0.018502554893686293,0.045569697430787356,0.20472519376176507,True
trend,2004-04-30,2026-05-31,266,0.24854412914953397,0.8646616541353384,-0.002188886287292994,0.01015304970913935,-0.10177882748885363,0.20550240024818836,True
