dropped_variable,p_value,remaining_before_drop
mad_800,0.9921842588284069,11
mad_600,0.9285591427295834,10
mad_20,0.8901227403846073,9
mad_400,0.7389564962190224,8
mad_200,0.5429363588989176,7
mad_50,0.521860563171066,6
mad_100,0.7401064637799022,5
mad_10,0.3412979616117996,4
mad_5,0.40215786162017186,3
mad_3,0.13459065443763085,2
