term,coef,p_value,t_stat,r_squared,observations
const,0.01446339660662733,0.038557656607981904,2.0795987089809733,0.019471593568736068,268
mad_3,1.6693803198618515,0.11628375675383573,1.5759001330156304,0.019471593568736068,268
mad_5,-1.199815137949328,0.24613064297078427,-1.1624613543399613,0.019471593568736068,268
mad_10,0.21151399656094758,0.7348222600766687,0.33908688553532634,0.019471593568736068,268
mad_20,0.10313887609596942,0.7921211160324978,0.26383266487024964,0.019471593568736068,268
mad_50,0.11018863185411153,0.6461881158270814,0.4596073888072418,0.019471593568736068,268
mad_100,-0.14625354570833632,0.45607023363658084,-0.7464671358811509,0.019471593568736068,268
mad_200,0.060733404670159065,0.6870132098029332,0.40336937413450985,0.019471593568736068,268
mad_400,-0.015852565431411527,0.9196323133756773,-0.10099647387202972,0.019471593568736068,268
mad_600,-0.01189251088302809,0.9563140017896608,-0.05483334678252502,0.019471593568736068,268
mad_800,0.044879809451188746,0.8503035983105836,0.18892205015590396,0.019471593568736068,268
mad_1000,-0.017740792641223413,0.874615302794991,-0.15795687520904014,0.019471593568736068,268
