date,ticker,status,is_buy,size,price,value,commission
2022-04-04,BAGFS,Completed,True,6643.0,15.07239615271698,100125.9276424989,0.0
2022-04-04,TCELL,Completed,True,5088.0,19.74230570586915,100448.85143146223,0.0
2022-04-04,ANSGR,Completed,True,82041.0,1.2279847286144334,100745.09512025674,0.0
2022-07-04,DOCO,Completed,True,71.0,1396.3295324886546,99139.39680669448,0.0
2023-04-04,ANSGR,Completed,False,-82041.0,3.9568395178000046,100745.09512025674,0.0
2023-04-04,BAGFS,Completed,False,-6643.0,25.28658192405316,100125.9276424989,0.0
2023-04-04,DOCO,Completed,False,-71.0,2286.301808798422,99139.39680669448,0.0
2023-04-04,TCELL,Completed,False,-5088.0,30.112508574620367,100448.85143146223,0.0
2023-04-04,PGSUS,Completed,True,1070.0,93.56330871582033,100112.74032592775,0.0
2023-04-04,AYGAZ,Completed,True,1726.0,58.175847056995735,100411.51202037463,0.0
2023-04-04,MGROS,Completed,True,635.0,157.43992639306987,99974.35325959936,0.0
2023-04-04,THYAO,Completed,True,847.0,118.00761269738145,99952.44795468208,0.0
2023-04-04,ALARK,Completed,True,1584.0,63.14114299449293,100015.5705032768,0.0
2023-04-04,BRSAN,Completed,True,1007.0,99.3499984741211,100045.44846343994,0.0
2023-04-04,TOASO,Completed,True,655.0,153.04017803564275,100241.316613346,0.0
2023-04-04,ISCTR,Completed,True,22265.0,4.502244181691308,100242.46670535699,0.0
2023-04-04,FROTO,Completed,True,2086.0,47.845327006051534,99805.35213462349,0.0
2023-04-04,TTRAK,Completed,True,434.0,230.5364690517807,100052.82756847283,0.0
2023-05-03,FROTO,Completed,False,-2086.0,43.15332634838146,99805.35213462349,0.0
2023-05-03,ISCTR,Completed,False,-22265.0,3.971701692020452,100242.46670535699,0.0
2023-05-03,DOAS,Completed,True,1298.0,78.02812397374517,101280.50491792122,0.0
2023-05-03,AKCNS,Completed,True,1706.0,58.61436462693917,99996.10605355822,0.0
2023-06-02,AYGAZ,Completed,False,-1726.0,55.98371489814381,100411.51202037463,0.0
2023-06-02,CIMSA,Completed,True,6638.0,15.023266792297363,99724.4449672699,0.0
2023-07-04,AKCNS,Completed,False,-1706.0,87.94566555873993,99996.10605355822,0.0
2023-07-04,ALARK,Completed,False,-1584.0,77.9393080220223,100015.5705032768,0.0
2023-07-04,FROTO,Completed,True,1575.0,63.50171650283757,100015.20349196917,0.0
2023-07-04,AYGAZ,Completed,True,1297.0,77.56779687665657,100605.43254902358,0.0
2023-09-04,AYGAZ,Completed,False,-1297.0,103.7047739751383,100605.43254902358,0.0
2023-09-04,THYAO,Completed,False,-847.0,249.7892798357651,99952.44795468208,0.0
2023-09-04,TOASO,Completed,False,-655.0,228.1439786788512,100241.316613346,0.0
2023-09-04,ALARK,Completed,True,808.0,123.90735955727358,100117.14652227705,0.0
2023-09-04,TKNSA,Completed,True,3866.0,26.100000381469727,100902.60147476196,0.0
2023-09-04,ANSGR,Completed,True,11351.0,8.809654000195962,99998.38255622437,0.0
2023-10-03,ALARK,Completed,False,-808.0,124.67756298184396,100117.14652227705,0.0
2023-10-03,FROTO,Completed,False,-1575.0,72.46810096013108,100015.20349196917,0.0
2023-10-03,MGROS,Completed,False,-635.0,368.8761336641162,99974.35325959936,0.0
2023-10-03,PGSUS,Completed,False,-1070.0,172.6205291748047,100112.74032592775,0.0
2023-10-03,TKNSA,Completed,False,-3866.0,25.920000076293945,100902.60147476196,0.0
2023-10-03,AKCNS,Completed,True,569.0,175.60187106662326,99917.46463690864,0.0
2023-10-03,TUPRS,Completed,True,832.0,120.23940775595273,100039.18725295267,0.0
2023-10-03,ANHYT,Completed,True,2389.0,41.863858644337526,100012.75830132235,0.0
2023-10-03,ISCTR,Completed,True,10463.0,9.601348982798823,100458.91440702409,0.0
2023-10-03,AYGAZ,Completed,True,733.0,136.4181596531825,99994.51102578278,0.0
2023-11-02,AYGAZ,Completed,False,-733.0,115.08700544510867,99994.51102578278,0.0
2023-11-02,ISCTR,Completed,False,-10463.0,7.626551199641538,100458.91440702409,0.0
2023-11-02,OTKAR,Completed,True,257.0,391.56164798890615,100631.34353314887,0.0
2023-11-02,MGROS,Completed,True,300.0,342.69784168407006,102809.35250522102,0.0
2023-12-04,AKCNS,Completed,False,-569.0,139.90259053906792,99917.46463690864,0.0
2023-12-04,ANHYT,Completed,False,-2389.0,34.489923576353995,100012.75830132235,0.0
2023-12-04,FROTO,Completed,True,1413.0,70.90005885481102,100181.78316184797,0.0
2023-12-04,SKBNK,Completed,True,14337.0,7.003986133662564,100416.14919832018,0.0
2024-01-03,CIMSA,Completed,False,-6638.0,28.62086899258172,99724.4449672699,0.0
2024-01-03,FROTO,Completed,False,-1413.0,64.95990450507442,100181.78316184797,0.0
2024-01-03,OTKAR,Completed,False,-257.0,416.9588915092783,100631.34353314887,0.0
