factor,observations,mean_raw_ic,mean_rank_ic,raw_ic_positive_pct,rank_ic_positive_pct
momentum,300,0.01544877082696884,0.016146027840646695,0.5333333333333333,0.56
pe,38,-0.015144686742138442,0.0225158052476728,0.47368421052631576,0.5
roe,38,0.01739670738322604,0.028542501826954118,0.5789473684210527,0.5789473684210527
trend,266,0.009059222733482463,0.006922115026289976,0.5150375939849624,0.518796992481203
