date,ticker,status,is_buy,size,price,value,commission
2022-04-04,BAGFS,Completed,True,6643.0,15.07239615271698,100125.9276424989,0.0
2022-04-04,TCELL,Completed,True,5088.0,19.74230570586915,100448.85143146223,0.0
2022-04-04,ANSGR,Completed,True,82041.0,1.2279847286144334,100745.09512025674,0.0
2022-05-13,TCELL,Completed,False,-5088.0,17.706104479136748,100448.85143146223,0.0
2022-05-25,BAGFS,Completed,False,-6643.0,19.11426642201464,100125.9276424989,0.0
2022-06-02,BAGFS,Completed,True,5723.0,17.471633738839575,99990.15988737889,0.0
2022-06-02,TCELL,Completed,True,5825.0,17.22803821664646,100353.32261196563,0.0
2022-06-17,TCELL,Completed,False,-5825.0,15.49284320025975,100353.32261196563,0.0
2022-06-29,BAGFS,Completed,False,-5723.0,15.580117836913692,99990.15988737889,0.0
2022-07-04,BAGFS,Completed,True,6608.0,15.221726099740485,100585.16606708513,0.0
2022-07-04,TCELL,Completed,True,6812.0,14.81115534551362,100893.59021363879,0.0
2022-07-04,DOCO,Completed,True,71.0,1396.3295324886546,99139.39680669448,0.0
2022-08-08,ANSGR,Completed,False,-82041.0,1.5440771579742432,100745.09512025674,0.0
2022-08-15,BAGFS,Completed,False,-6608.0,20.010248797905813,100585.16606708513,0.0
2022-08-24,TCELL,Completed,False,-6812.0,18.95295572569266,100893.59021363879,0.0
2022-09-02,BAGFS,Completed,True,4374.0,23.395065317828,102330.01570017966,0.0
2022-09-02,ANSGR,Completed,True,54289.0,1.826058890728892,99134.91111878082,0.0
2022-09-02,TCELL,Completed,True,5094.0,19.940850834670567,101578.69415181187,0.0
2022-09-14,BAGFS,Completed,False,-4374.0,19.85096227190887,102330.01570017966,0.0
2022-09-29,DOCO,Completed,False,-71.0,1246.4013908072895,99139.39680669448,0.0
2022-10-04,BAGFS,Completed,True,4130.0,24.41051147322593,100815.41238442309,0.0
2022-10-04,DOCO,Completed,True,78.0,1279.5853889039863,99807.66033451093,0.0
2022-10-10,BAGFS,Completed,False,-4130.0,31.37925547661167,100815.41238442309,0.0
2022-11-02,BAGFS,Completed,True,2586.0,38.78603000077492,100300.67358200395,0.0
2022-11-03,TCELL,Completed,False,-5094.0,25.64868966240281,101578.69415181187,0.0
2022-11-04,ANSGR,Completed,False,-54289.0,2.3195267337252243,99134.91111878082,0.0
2022-11-15,DOCO,Completed,False,-78.0,1798.1363897963286,99807.66033451093,0.0
2022-12-02,ANSGR,Completed,True,26379.0,3.811301059952816,100538.31066049534,0.0
2022-12-02,TCELL,Completed,True,3139.0,31.90536360532283,100150.93635710837,0.0
2022-12-02,DOCO,Completed,True,55.0,1799.3358252922185,98963.47039107201,0.0
2023-01-11,BAGFS,Completed,False,-2586.0,34.8038923056736,100300.67358200395,0.0
2023-02-02,BAGFS,Completed,True,3602.0,27.69577488584261,99760.18113880508,0.0
2023-02-15,ANSGR,Completed,False,-26379.0,3.5929926352318944,100538.31066049534,0.0
2023-02-15,BAGFS,Completed,False,-3602.0,25.545420868802328,99760.18113880508,0.0
2023-02-15,TCELL,Completed,False,-3139.0,32.01512827464075,100150.93635710837,0.0
2023-03-02,ANSGR,Completed,True,26051.0,3.8567816575121845,100473.01895984991,0.0
2023-03-02,BAGFS,Completed,True,3240.0,30.86157716661868,99991.51001984453,0.0
2023-03-02,TCELL,Completed,True,3433.0,29.124616622924805,99984.80886650085,0.0
2023-03-21,BAGFS,Completed,False,-3240.0,27.636044076461367,99991.51001984453,0.0
2023-04-04,DOCO,Completed,False,-55.0,2286.301808798422,98963.47039107201,0.0
2023-04-04,ANSGR,Completed,False,-26051.0,3.956839517800004,100473.01895984991,0.0
2023-04-04,DOCO,Completed,False,-55.0,2286.301808798422,-125746.5994839132,0.0
2023-04-04,TCELL,Completed,False,-3433.0,30.112508574620367,99984.80886650085,0.0
2023-04-04,PGSUS,Completed,True,1070.0,93.56330871582033,100112.74032592775,0.0
2023-04-04,AYGAZ,Completed,True,1726.0,58.175847056995735,100411.51202037463,0.0
2023-04-04,MGROS,Completed,True,635.0,157.43992639306987,99974.35325959936,0.0
2023-04-04,THYAO,Completed,True,847.0,118.00761269738145,99952.44795468208,0.0
2023-04-04,ALARK,Completed,True,1584.0,63.14114299449293,100015.5705032768,0.0
2023-04-04,BRSAN,Completed,True,1007.0,99.3499984741211,100045.44846343994,0.0
2023-04-04,TOASO,Completed,True,655.0,153.04017803564275,100241.316613346,0.0
2023-04-04,ISCTR,Completed,True,22265.0,4.502244181691308,100242.46670535699,0.0
2023-04-04,FROTO,Completed,True,2086.0,47.845327006051534,99805.35213462349,0.0
2023-04-04,TTRAK,Completed,True,434.0,230.5364690517807,100052.82756847283,0.0
2023-04-17,BRSAN,Completed,False,-1007.0,128.0,100045.44846343994,0.0
2023-05-02,ALARK,Completed,False,-1584.0,55.81563360553202,100015.5705032768,0.0
