date,cash,value
2024-05-29,1739572.8359842156,1925753.7871942376
2024-05-30,1739572.8359842156,1926928.1715993737
2024-05-31,1739572.8359842156,1936243.3257150506
2024-06-03,1867748.0710764243,1932915.6302271201
2024-06-04,1167651.83720286,1916531.5023086797
2024-06-05,1167651.83720286,1934118.6584976446
2024-06-06,1167651.83720286,1921840.4588497411
2024-06-07,1167651.83720286,1901340.5260627996
2024-06-10,1167651.83720286,1891132.6847618353
2024-06-11,1167651.83720286,1911107.0093696844
2024-06-12,1167651.83720286,1913487.2052753698
2024-06-13,1167651.83720286,1943782.1051567327
2024-06-14,1304682.1428002515,1925104.6830643811
2024-06-20,1304682.1428002515,1933592.733084599
2024-06-21,1435290.445429578,1938230.9030540134
2024-06-24,1524465.6735505061,1931199.0552605586
2024-06-25,1524465.6735505061,1935859.4075936275
2024-06-26,1524465.6735505061,1920706.9624451594
2024-06-27,1524465.6735505061,1931084.315701385
2024-06-28,1524465.6735505061,1926998.9960335689
2024-07-01,1524465.6735505061,1905606.3272217708
2024-07-02,1215983.9414108382,1933150.5054844008
2024-07-03,1215983.9414108382,1948704.8851612196
2024-07-04,1215983.9414108382,1950382.113760768
2024-07-05,1215983.9414108382,1943334.436497508
2024-07-08,1304436.3004043684,1940906.8138759718
2024-07-09,1304436.3004043684,1948605.1756961928
2024-07-10,1304436.3004043684,1952110.7357071028
2024-07-11,1304436.3004043684,1959660.4724205122
2024-07-12,1304436.3004043684,1962316.4005058394
2024-07-16,1304436.3004043684,1977097.6826789961
2024-07-17,1304436.3004043684,1969156.342747508
2024-07-18,1304436.3004043684,1962402.0545185194
2024-07-19,1304436.3004043684,1969481.6216419325
2024-07-22,1304436.3004043684,1970808.2758548842
2024-07-23,1393321.422521634,1965108.3877659272
2024-07-24,1393321.422521634,1952366.7214127015
2024-07-25,1393321.422521634,1939695.371707959
2024-07-26,1393321.422521634,1930437.5444260072
2024-07-29,1481556.7001523362,1918127.5970887528
2024-07-30,1481556.7001523362,1900569.914109169
2024-07-31,1569094.5585520838,1898532.6260073753
2024-08-01,1569094.5585520838,1812657.9426100824
2024-08-02,1180890.3367466035,1793607.5649322572
2024-08-05,1180890.3367466035,1765578.9688190522
2024-08-06,1272405.8697751248,1740157.0304730618
2024-08-07,1361858.4721647222,1744825.2837873418
2024-08-08,1361858.4721647222,1750239.8943601567
2024-08-09,1451724.5564523807,1742171.9329172245
2024-08-12,1451724.5564523807,1742979.6641794315
2024-08-13,1451724.5564523807,1751163.8018213382
2024-08-14,1451724.5564523807,1761587.7756677738
2024-08-15,1451724.5564523807,1767023.7196069828
2024-08-16,1451724.5564523807,1761845.4011331669
2024-08-19,1451724.5564523807,1773208.9257837406
2024-08-20,1451724.5564523807,1770781.9281641117
2024-08-21,1578004.5564523807,1760018.942789661
2024-08-22,1578004.5564523807,1753845.5077310672
2024-08-23,1665952.5417935087,1735918.1642529203
2024-08-26,1754863.9942776395,1741053.0213848783
2024-08-27,1754863.9942776395,1741620.2331234647
2024-08-28,1754863.9942776395,1735742.6895443632
2024-08-29,1754863.9942776395,1735224.1763378812
2024-09-02,1754863.9942776395,1751660.7863308622
2024-09-03,1052398.316125542,1757987.8013092577
2024-09-04,1052398.316125542,1748887.9946819842
2024-09-05,1140789.1537932479,1748924.2498816573
2024-09-06,1140789.1537932479,1741608.3111628615
2024-09-09,1140789.1537932479,1735917.799325856
2024-09-10,1140789.1537932479,1725223.9370440566
2024-09-11,1230178.5921782576,1705013.2225455367
2024-09-12,1230178.5921782576,1715892.0789145553
2024-09-13,1230178.5921782576,1731601.2796553695
2024-09-16,1230178.5921782576,1730191.8960513198
2024-09-17,1230178.5921782576,1749286.7583884322
2024-09-18,1230178.5921782576,1762450.5606974685
