simulation,sharpe,max_drawdown
1,1.6954968926620129,-0.15016479201445332
2,1.045250613890017,-0.23886612959029863
3,1.4921440504669168,-0.27514029069180934
4,1.9334390796570453,-0.20828309209300588
5,1.0409141382489266,-0.18578791218227142
6,1.4693878529059445,-0.13700609393964702
7,1.2296806408876255,-0.2757429269307079
8,0.9370318928223902,-0.20333462273883263
9,0.9527315023958496,-0.424197562363241
10,1.779370525482083,-0.154475651600108
11,1.3577313172517924,-0.41316198952359373
12,1.55869847354139,-0.19451109338929706
13,1.2632105220578496,-0.13003632367768858
14,0.8457827062731099,-0.5106406253742417
15,0.8137205025062529,-0.2909558977719957
16,0.9559186543377967,-0.29765195396409727
17,0.8832890011941513,-0.31482612368142404
18,1.4831545472985463,-0.27514029069180934
19,1.2406645670589131,-0.17795258168487682
20,1.0030272997331886,-0.2964616131107495
21,1.5006972092417405,-0.2850749213370264
22,0.7179747185223901,-0.3731900513161237
23,1.3760157935128512,-0.2869699674210182
24,1.366691917692699,-0.17062138417164086
25,1.5644490455690647,-0.22508860246360896
26,1.2207876804004436,-0.21039377516163882
27,1.806154086859785,-0.2302939582272564
28,1.2534871839885238,-0.18652314109314583
29,1.2562037646591342,-0.23076619516077346
30,1.6443632414041625,-0.14135283723709158
31,0.9948831946383841,-0.15238250763691075
32,1.853480454294859,-0.21055501150216405
33,1.324600819740956,-0.1358967781918199
34,1.1622165973131013,-0.2510848240258424
35,1.372470805512086,-0.21137925562001925
36,1.5797964896137566,-0.23833688477546278
37,1.0961559935928773,-0.3081673662487595
38,0.09947153959718687,-0.6100194202377902
39,1.515275153431484,-0.3784778247421996
40,1.0758256853222783,-0.32098175564457443
41,1.3810963953026492,-0.2677186853230652
42,1.3973606037550945,-0.28508106719637716
43,0.6403419607309947,-0.2847737887164432
44,1.22765461950038,-0.18210123617321472
45,1.2712823286138473,-0.3614048815182094
46,1.329227162374297,-0.18381387559421059
47,0.8384725755964405,-0.2646143149429351
48,1.2838097428936055,-0.1808654687843263
49,1.24665397956674,-0.2439960621827837
50,1.5728163033067737,-0.25729247215659357
51,1.955156010696188,-0.09716377903377749
52,1.478665163349267,-0.2752937128301798
53,0.32253400128292603,-0.39206912051889486
54,1.3932002444093636,-0.16833790996315123
55,0.36777990588853515,-0.24394828202483243
56,1.699688924513714,-0.09551734534007084
57,1.1804840949495785,-0.24057799923390377
58,1.8247550524088223,-0.1230161794938831
59,1.1749515540950333,-0.2025182399495956
60,1.3903863073279432,-0.2633283837573055
61,1.159913430043883,-0.2172174678473454
62,1.268967904050157,-0.23813818780665508
63,1.1013597201734089,-0.35928852932342115
64,0.8344139810513153,-0.395706647259744
65,0.5064255990858136,-0.33962040090564194
66,0.9402419373427695,-0.20401961145518122
67,1.4302492442246595,-0.27334630235837176
68,1.2739952906662992,-0.23010933534097633
69,1.111685157595638,-0.2668084020159851
70,1.3610362065406063,-0.20986616385625556
71,1.326440145264796,-0.21712264459725095
72,1.7089845919450282,-0.1455713081341099
73,1.5825347545526105,-0.17403745170910057
74,1.822343126883274,-0.23744905772671487
75,1.1919966708461815,-0.18180646366209208
76,0.72832299087373,-0.3641393350619081
77,0.9680550130784287,-0.3265133315267421
78,1.415258340421992,-0.31013705061146857
79,0.8918221231487119,-0.37801374095322393
80,1.0751334469772618,-0.23690585288628396
81,0.7166461003943086,-0.3718705796016005
82,0.9339967613455958,-0.31233241159639724
83,1.1471587121534235,-0.25333242698741365
84,-0.3197727443942425,-0.6658424340036893
85,0.7921690097774985,-0.40325629160290133
86,1.4931086253926387,-0.19869443473539083
87,0.7833704646360671,-0.5048189862964159
88,1.4324601803998525,-0.30769219558831984
89,0.7447531921416874,-0.3849703656416662
90,1.4054117506208144,-0.2529424010159905
91,0.938904727001164,-0.21747578685008528
92,1.422691138586631,-0.1350451489836243
93,1.3136620068868152,-0.18774966149168193
94,0.9450893392803867,-0.2900294585420278
95,1.6445017531388229,-0.1811874320894311
96,1.0457517063558222,-0.2709912444253887
97,1.406639103743729,-0.2794697049842556
98,1.8771215817804805,-0.3258321850792272
99,1.3378705864213514,-0.33757705018500184
100,1.615655737614359,-0.23307105051912824
101,0.5598029181464237,-0.37595109951453687
102,1.6317329266152851,-0.16324425446974045
103,1.7788881632049267,-0.27545930181346834
104,1.299133405918212,-0.263204153048344
105,1.880108729646031,-0.2166459819931894
106,1.6828129352066676,-0.2040196114551811
107,1.9444695129162326,-0.16599259867074334
108,1.4095875040632344,-0.12261211324319832
109,2.1016682170011625,-0.17302765694035072
110,0.8748624705987622,-0.23946370765411507
111,1.3745187156234266,-0.3305593370948685
112,1.37123394881472,-0.19595870903622903
113,1.9110327599338548,-0.20234799377482504
114,1.871817391726234,-0.17118083667759132
115,1.9253757451645979,-0.1577932690182734
116,1.8681242847064303,-0.16310013635299414
117,1.0209901924175941,-0.24525572655511652
118,1.8713629564645404,-0.1853982373574239
119,1.6669951650041073,-0.21904482345943554
120,0.7224743452285941,-0.4361724673498034
121,1.4822502572950202,-0.326282307399836
122,1.3120638744374598,-0.22271172013445784
123,1.217472825112642,-0.1963042042034815
124,1.9884284526475922,-0.1835933267128571
125,1.2681836614472897,-0.4387819460112008
126,1.8538235866501294,-0.16251770607051208
127,0.6794357716270688,-0.3373217139108373
128,0.8811951841408068,-0.2571008943639689
129,1.5454878094289668,-0.18180646366209197
130,1.3880214059159866,-0.18180646366209208
131,1.5462309795614997,-0.2874696443256133
132,1.077046273239921,-0.28021852737342356
133,1.3335371855758764,-0.15719059262505475
134,1.3208001916853296,-0.25679273422506044
135,1.2709141951019987,-0.2628276770672533
136,1.015323376187481,-0.476896515517533
137,1.444585947772645,-0.17403745170910068
138,1.1651494112312326,-0.29400041464898863
139,0.9113708537419262,-0.3660485092656818
140,1.4856507443025797,-0.2601099718608664
141,0.929232683553346,-0.32522498990175874
142,1.2013071672904023,-0.2912345158678731
143,0.8333372476295726,-0.2199112678737648
144,0.6191128686564594,-0.2964732375391197
145,1.6186889166064167,-0.19908943010251523
146,1.7903051599830626,-0.11407304370487115
147,0.996482291727503,-0.3615250346206538
148,1.8751111762407573,-0.35984154203194274
149,2.026529955638204,-0.16116142378775278
150,2.360204328708744,-0.142312078995254
151,2.0063193061838365,-0.11342647310207732
152,1.4176798087512545,-0.27588613039800436
153,1.2171965232871151,-0.19368245976670573
154,1.7954537336399299,-0.2777929664129978
155,0.4077158259614116,-0.47079971030771917
156,0.8301212504587856,-0.34504880928106485
157,0.9556445506392952,-0.33952346789406895
158,1.292406590050157,-0.44245243728894
159,1.665352573490469,-0.2119426087922308
160,1.4125729624829317,-0.1930706142483095
161,1.5268371619695362,-0.19945925687971644
162,1.1747529810569244,-0.2488676524852791
163,1.4539679171214737,-0.25999670040648637
164,1.9365926907315894,-0.23749852096918345
165,1.2106671325584255,-0.3081669441594369
166,1.241310795553899,-0.2798270364024643
167,1.6779892092916198,-0.27644445598884004
168,1.0526078823121523,-0.2968675460012178
169,0.6796512522684472,-0.3135200774166702
170,1.1721292683683406,-0.24420838810765755
171,0.8071436270612776,-0.2763258617280614
172,0.24471166313445314,-0.5266270527203918
173,1.2963000860347063,-0.3312419308860951
174,1.4309348564279458,-0.19869443473539083
175,1.6671388639901379,-0.22271172013445784
176,1.6926367883023252,-0.18245185992607282
177,1.3524108199905025,-0.31664787550339313
178,1.096908401695607,-0.26844895680268177
179,0.8088605743623122,-0.36652102441940704
180,2.263265584310807,-0.18829450655782975
181,2.008091574751513,-0.29801715167887743
182,1.2756740423408124,-0.227671407239583
183,0.8020405907395958,-0.2917451809599456
184,1.6286593220580718,-0.22289852329292226
185,1.6409061155856197,-0.2769136949616735
186,1.4887874452532568,-0.286728761638849
187,1.6014119980637864,-0.21323706164247191
188,0.9814224234749847,-0.31906771191946326
189,0.24699357302235475,-0.5459494383442368
190,0.8952523805745619,-0.2840401514993879
191,1.570755205378654,-0.1652739446943683
192,0.3448825018945077,-0.43662489183576514
193,0.9127754559825705,-0.3418068451864641
194,1.4813317412217888,-0.22836129890067336
195,1.3039975874759646,-0.24496821990114082
196,1.427621623193451,-0.3097781210158542
197,1.0026831871427755,-0.32521387452229533
198,1.5991757237944666,-0.20770329572390722
199,1.0109413447015791,-0.47980593894572277
200,-0.06466175614464079,-0.6116706798995803
201,1.8683661683425428,-0.18180646366209208
202,0.5998197157932806,-0.2511962764682132
203,1.3212068662506469,-0.24456077171943857
204,0.9042360640985894,-0.24913741699015213
205,1.3416013928808623,-0.21340409064320787
206,1.0724182378062481,-0.21350082602143317
207,1.1340756541227168,-0.24318947554209802
208,0.8419606273644307,-0.3804007003938732
209,-0.05334483252450166,-0.42814804357144887
210,1.534279288258923,-0.1674510051698801
211,1.2704119673522434,-0.17056147415860645
212,2.93208850901933,-0.09551734534007084
213,1.0666327265107491,-0.28740044830762146
214,1.3831573842945486,-0.39164978452785404
215,1.116261496862513,-0.23537001618696451
216,1.4215205982604686,-0.2466385492880644
217,2.181353687126557,-0.15349015019661483
218,0.5196261031657499,-0.2680282856695867
219,1.4072000655392403,-0.1819796406235562
220,1.0936785588110534,-0.30863796891615713
221,1.0225998524172848,-0.2752957509150358
222,0.8485783462661945,-0.2918298324587365
223,1.4597442864684724,-0.3054358960179865
224,1.5412280136467678,-0.26671748927991556
225,1.5238636852986671,-0.22550534415427737
226,0.5778590178655301,-0.39011178438071203
227,1.5010574286420335,-0.29786393112785103
228,1.8972716591761547,-0.21215745144256615
229,1.4169387272131333,-0.21983955105000252
230,1.411511609990669,-0.1893138755129392
231,1.7872879261689782,-0.15856687273165593
232,1.4224707294586245,-0.2195060335724096
233,1.1470787557363251,-0.22559043194159534
234,0.9469078346905992,-0.4126696365683279
235,1.5238042109730416,-0.24618854490603148
236,0.6841161031269639,-0.266637884016128
237,1.65605560198374,-0.18774966149168182
238,0.8753242915147622,-0.3630861367124365
239,1.6066493341681236,-0.22673344130842255
240,0.7569538776029082,-0.3633055722020231
241,1.428511407300715,-0.21232346093300458
242,1.3545309384574815,-0.2646512504522299
243,1.3404064538637699,-0.3705642599185903
244,1.1468581129215496,-0.2568113804663501
245,1.4142790389204691,-0.2729486786043217
246,1.3283183488943253,-0.236859914858897
247,0.47903955895874584,-0.3423332817069953
248,1.2521342663200674,-0.3535488836820938
249,0.6690103271344042,-0.3210364527614068
250,0.8597250794432404,-0.21695568666106357
251,0.8507921192374437,-0.33136534985238697
252,1.5971788072577457,-0.3178965752937939
253,1.4818669795186792,-0.17448104818182342
254,1.4711137513698855,-0.35133739508998285
255,1.198325167830922,-0.40174749969820855
256,1.693181469947143,-0.22686992119069138
257,1.4833254413630514,-0.22842353181960307
258,2.3751621449546905,-0.17027207507331987
259,2.106338952458336,-0.11407304370487115
260,1.2492084565398995,-0.31888904433901943
261,0.7391851437102721,-0.3788363139832476
262,1.4585520219773227,-0.200423335969782
263,1.095045404079615,-0.30180515884293013
264,1.5012911638492787,-0.2545886552702826
265,1.8152656752718828,-0.18180646366209208
266,0.8581671377908429,-0.3780562661576833
267,0.858173327081416,-0.3640277535428026
268,1.6589440287008583,-0.18113539056795314
269,0.35720544050273983,-0.3903236216969861
270,1.351742388023655,-0.16669134405731023
271,1.410100378831452,-0.19159782380966983
272,0.868811908305326,-0.44622143664683556
273,1.5221234476128553,-0.19077438578940775
274,1.06861224098116,-0.16063900523962094
275,0.8334483353659659,-0.3540297487080015
276,1.1876127819009943,-0.2334858353486976
277,0.5619280206898102,-0.25089589236758714
278,0.7100092098511194,-0.5921523441099479
279,0.29442971225637665,-0.2653096961661524
280,0.16102392542907581,-0.46035581394851166
281,1.5248928999096294,-0.18180646366209208
282,1.049802236896518,-0.3320217725303366
283,1.3286844630357548,-0.18791408431319
284,1.5488392986581125,-0.21988015548922335
285,1.5124207061897041,-0.2876685196006834
286,0.94732959282242,-0.2718128666183346
287,1.2887269162224313,-0.22741751620120687
288,1.9224221177742382,-0.15719059262505486
289,1.8504577596694791,-0.18744541014481375
290,1.0345153828442828,-0.3506013036923217
291,1.466090962925829,-0.19282219314166604
292,1.3973856339871262,-0.18306762302003665
293,0.5526210156297777,-0.43844738151063434
294,1.735682072006115,-0.2510950404452973
295,1.6419155391856946,-0.16149535695544792
296,1.457071359091969,-0.2486621996133752
297,1.296963905653091,-0.13812508706633075
298,0.7806306923597051,-0.39133422462459755
299,0.41327727879676446,-0.31098744935658074
300,1.8202290090872293,-0.19908943010251523
301,1.3893530716031264,-0.24428255397007015
302,1.0476217410123922,-0.2351528447527227
303,2.1166908066563637,-0.11740670588823054
304,1.6628011788773858,-0.19595870903622903
305,1.8147036925676066,-0.13600023088290847
306,1.3765918427871473,-0.2304774650425555
