simulation,sharpe,actual_sharpe,p_value
1,1.3409394241448467,1.2826121936672956,0.9045
2,1.6922729812409791,1.2826121936672956,0.9045
3,1.5716397149226708,1.2826121936672956,0.9045
4,1.9973861785458993,1.2826121936672956,0.9045
5,1.6173886174503675,1.2826121936672956,0.9045
6,1.2293978481216254,1.2826121936672956,0.9045
7,1.7746311724067731,1.2826121936672956,0.9045
8,1.2873846832115388,1.2826121936672956,0.9045
9,1.7301647948401726,1.2826121936672956,0.9045
10,1.803069912914019,1.2826121936672956,0.9045
11,1.3639823811541012,1.2826121936672956,0.9045
12,1.3222069163048897,1.2826121936672956,0.9045
13,1.5105167399050747,1.2826121936672956,0.9045
14,1.7851786045773146,1.2826121936672956,0.9045
15,1.598923387937138,1.2826121936672956,0.9045
16,1.4762648780252399,1.2826121936672956,0.9045
17,1.203456465365801,1.2826121936672956,0.9045
18,1.8049960956554623,1.2826121936672956,0.9045
19,1.7110209822740388,1.2826121936672956,0.9045
20,1.644033236869585,1.2826121936672956,0.9045
21,1.266515177269624,1.2826121936672956,0.9045
22,1.548732252819464,1.2826121936672956,0.9045
23,1.7989204221347073,1.2826121936672956,0.9045
24,1.6339423158119386,1.2826121936672956,0.9045
25,1.489295087404641,1.2826121936672956,0.9045
26,1.787100864582424,1.2826121936672956,0.9045
27,1.0743982626777708,1.2826121936672956,0.9045
28,1.544122068391244,1.2826121936672956,0.9045
29,1.7824212557320884,1.2826121936672956,0.9045
30,1.3003798568390312,1.2826121936672956,0.9045
31,1.1376039871561257,1.2826121936672956,0.9045
32,1.4564263657299639,1.2826121936672956,0.9045
33,1.3919382778226137,1.2826121936672956,0.9045
34,1.2251313467153988,1.2826121936672956,0.9045
35,1.2682043878639686,1.2826121936672956,0.9045
36,1.6319976407044152,1.2826121936672956,0.9045
37,1.2376384778060803,1.2826121936672956,0.9045
38,1.2459371625696778,1.2826121936672956,0.9045
39,1.3770772654920178,1.2826121936672956,0.9045
40,1.4207051336772973,1.2826121936672956,0.9045
41,1.7977989042323588,1.2826121936672956,0.9045
42,1.4954671223155598,1.2826121936672956,0.9045
43,1.6345154626421223,1.2826121936672956,0.9045
44,1.7773964101675481,1.2826121936672956,0.9045
45,1.4007078147466165,1.2826121936672956,0.9045
46,1.455476947101055,1.2826121936672956,0.9045
47,1.5514841483462771,1.2826121936672956,0.9045
48,1.5493488735492371,1.2826121936672956,0.9045
49,1.3506960144509748,1.2826121936672956,0.9045
50,1.8304511012607219,1.2826121936672956,0.9045
51,1.2403741268255855,1.2826121936672956,0.9045
52,1.3759967274330778,1.2826121936672956,0.9045
53,1.4064247725882661,1.2826121936672956,0.9045
54,1.5054093824871844,1.2826121936672956,0.9045
55,1.4289632875429785,1.2826121936672956,0.9045
56,1.5393997757479563,1.2826121936672956,0.9045
57,1.3979979397505888,1.2826121936672956,0.9045
58,1.3988640969905215,1.2826121936672956,0.9045
59,1.318119171264566,1.2826121936672956,0.9045
60,1.6395908338526068,1.2826121936672956,0.9045
61,1.6415901992148396,1.2826121936672956,0.9045
62,1.72418599530245,1.2826121936672956,0.9045
63,1.6289177665699133,1.2826121936672956,0.9045
64,1.2976187863254216,1.2826121936672956,0.9045
65,1.2809288313498115,1.2826121936672956,0.9045
66,1.794412741816214,1.2826121936672956,0.9045
67,1.3445044227546148,1.2826121936672956,0.9045
68,1.7403054240629405,1.2826121936672956,0.9045
69,1.5275065360310942,1.2826121936672956,0.9045
70,1.7677769323835544,1.2826121936672956,0.9045
71,1.474573053500911,1.2826121936672956,0.9045
72,1.2243523835627603,1.2826121936672956,0.9045
73,1.2525720326551975,1.2826121936672956,0.9045
74,1.2770466583534903,1.2826121936672956,0.9045
75,1.6269696212177762,1.2826121936672956,0.9045
76,1.7425732422961961,1.2826121936672956,0.9045
77,1.777027757890486,1.2826121936672956,0.9045
78,1.8334177818071447,1.2826121936672956,0.9045
79,1.3685536408913188,1.2826121936672956,0.9045
80,1.6445944960038619,1.2826121936672956,0.9045
81,1.516736512556306,1.2826121936672956,0.9045
82,1.438513100497604,1.2826121936672956,0.9045
83,1.5842101821311199,1.2826121936672956,0.9045
84,1.331687906553447,1.2826121936672956,0.9045
85,1.4390226407863655,1.2826121936672956,0.9045
86,1.367559384940509,1.2826121936672956,0.9045
87,1.4175196586868737,1.2826121936672956,0.9045
88,1.6753704706163037,1.2826121936672956,0.9045
89,1.9253474283993168,1.2826121936672956,0.9045
90,1.7307757950157705,1.2826121936672956,0.9045
91,1.6544984210183054,1.2826121936672956,0.9045
92,1.2764976270954005,1.2826121936672956,0.9045
93,1.654118556378396,1.2826121936672956,0.9045
94,1.41384434119377,1.2826121936672956,0.9045
95,1.9745904639099616,1.2826121936672956,0.9045
96,1.407871456712326,1.2826121936672956,0.9045
97,1.643178679464634,1.2826121936672956,0.9045
98,1.5258538091659917,1.2826121936672956,0.9045
99,1.8097861611226056,1.2826121936672956,0.9045
100,1.8271064440405185,1.2826121936672956,0.9045
101,1.4649024257566328,1.2826121936672956,0.9045
102,1.3589155004587252,1.2826121936672956,0.9045
103,1.893846289385116,1.2826121936672956,0.9045
104,1.668996516987141,1.2826121936672956,0.9045
105,1.6273400755717422,1.2826121936672956,0.9045
106,1.7236564408102162,1.2826121936672956,0.9045
107,1.2710005545519614,1.2826121936672956,0.9045
108,1.3404213892737586,1.2826121936672956,0.9045
109,1.688638716600787,1.2826121936672956,0.9045
110,1.5915518139166858,1.2826121936672956,0.9045
111,1.3335449287361683,1.2826121936672956,0.9045
112,1.2887580506615124,1.2826121936672956,0.9045
113,1.8316092461933773,1.2826121936672956,0.9045
114,1.607105573549602,1.2826121936672956,0.9045
115,1.649854696656603,1.2826121936672956,0.9045
116,1.791118114963194,1.2826121936672956,0.9045
117,1.343192868939825,1.2826121936672956,0.9045
118,1.5641665300059464,1.2826121936672956,0.9045
119,1.8522802392963125,1.2826121936672956,0.9045
120,1.4787158218586336,1.2826121936672956,0.9045
121,1.6110895549535196,1.2826121936672956,0.9045
122,1.3981555210576275,1.2826121936672956,0.9045
123,1.772710978433588,1.2826121936672956,0.9045
124,1.8140128643569011,1.2826121936672956,0.9045
125,1.3577449095511647,1.2826121936672956,0.9045
126,1.61233614076555,1.2826121936672956,0.9045
127,1.6242449113189437,1.2826121936672956,0.9045
128,1.75146233040461,1.2826121936672956,0.9045
129,1.4003114274129207,1.2826121936672956,0.9045
130,1.5278959942082804,1.2826121936672956,0.9045
131,1.6900844561530153,1.2826121936672956,0.9045
132,1.6304742080955623,1.2826121936672956,0.9045
133,1.7182656275730517,1.2826121936672956,0.9045
134,1.7875014768586692,1.2826121936672956,0.9045
135,1.368572683055239,1.2826121936672956,0.9045
136,1.5203718828011497,1.2826121936672956,0.9045
137,1.586392514027231,1.2826121936672956,0.9045
138,1.557639603866044,1.2826121936672956,0.9045
139,1.6901956894328702,1.2826121936672956,0.9045
140,1.376220808996302,1.2826121936672956,0.9045
141,1.9687457200765137,1.2826121936672956,0.9045
142,1.6106581818446615,1.2826121936672956,0.9045
143,1.4877990635276566,1.2826121936672956,0.9045
144,1.7548319038874254,1.2826121936672956,0.9045
145,1.7140513776165622,1.2826121936672956,0.9045
146,1.2396301278314639,1.2826121936672956,0.9045
147,1.8051246196625,1.2826121936672956,0.9045
148,1.5009107395622014,1.2826121936672956,0.9045
149,1.7842978885249203,1.2826121936672956,0.9045
150,1.1326380924515167,1.2826121936672956,0.9045
151,1.2646347660516655,1.2826121936672956,0.9045
152,1.4945015484310529,1.2826121936672956,0.9045
153,1.1600689405573694,1.2826121936672956,0.9045
154,1.742729171375276,1.2826121936672956,0.9045
155,1.7315386645218689,1.2826121936672956,0.9045
156,1.4585056896844886,1.2826121936672956,0.9045
157,1.3570530055475638,1.2826121936672956,0.9045
158,1.622868872765951,1.2826121936672956,0.9045
159,1.4770246790446722,1.2826121936672956,0.9045
160,1.5339856895337634,1.2826121936672956,0.9045
161,1.6001729915226557,1.2826121936672956,0.9045
162,1.517718131556061,1.2826121936672956,0.9045
163,1.2981301871219464,1.2826121936672956,0.9045
164,1.7113346348505578,1.2826121936672956,0.9045
165,1.4969219967769498,1.2826121936672956,0.9045
166,1.7521203526897304,1.2826121936672956,0.9045
167,1.7305369762481353,1.2826121936672956,0.9045
168,1.6449467398981998,1.2826121936672956,0.9045
169,1.880319563777872,1.2826121936672956,0.9045
170,1.4964973430810626,1.2826121936672956,0.9045
171,1.7691815358912752,1.2826121936672956,0.9045
172,1.6347669656016164,1.2826121936672956,0.9045
173,1.6215504357357542,1.2826121936672956,0.9045
174,1.5277980729772698,1.2826121936672956,0.9045
175,1.5805932004928265,1.2826121936672956,0.9045
176,1.5743615266103819,1.2826121936672956,0.9045
177,1.5440410053174205,1.2826121936672956,0.9045
178,1.5324288851840793,1.2826121936672956,0.9045
179,1.3919267468245935,1.2826121936672956,0.9045
180,1.8215529609112127,1.2826121936672956,0.9045
181,1.6418181238724978,1.2826121936672956,0.9045
182,1.9314366926130426,1.2826121936672956,0.9045
183,1.4863042414458574,1.2826121936672956,0.9045
184,1.1937232358483076,1.2826121936672956,0.9045
185,1.6093704775557927,1.2826121936672956,0.9045
186,1.3993415230557087,1.2826121936672956,0.9045
187,1.4856531364086174,1.2826121936672956,0.9045
188,1.5927591203710327,1.2826121936672956,0.9045
189,1.8857148985431755,1.2826121936672956,0.9045
190,1.7359198482152136,1.2826121936672956,0.9045
191,1.129921016707733,1.2826121936672956,0.9045
192,1.2289066380859908,1.2826121936672956,0.9045
193,1.6029340692017298,1.2826121936672956,0.9045
194,1.4666395679894855,1.2826121936672956,0.9045
195,1.3690449338993154,1.2826121936672956,0.9045
196,1.396720538904086,1.2826121936672956,0.9045
197,1.7750139016640307,1.2826121936672956,0.9045
198,1.5779232373278382,1.2826121936672956,0.9045
199,1.3419151483354952,1.2826121936672956,0.9045
200,1.5693417704787103,1.2826121936672956,0.9045
201,1.6355003439702167,1.2826121936672956,0.9045
202,1.4626519672890383,1.2826121936672956,0.9045
203,1.5539690769298082,1.2826121936672956,0.9045
204,1.0884576401423125,1.2826121936672956,0.9045
205,1.6169603236541525,1.2826121936672956,0.9045
206,1.4755770796319387,1.2826121936672956,0.9045
207,1.4179917621419524,1.2826121936672956,0.9045
208,1.0823551189014073,1.2826121936672956,0.9045
209,1.7199408818299893,1.2826121936672956,0.9045
210,1.3189121143325908,1.2826121936672956,0.9045
211,1.6211588775100332,1.2826121936672956,0.9045
212,1.6782518066086187,1.2826121936672956,0.9045
213,1.8603712045951901,1.2826121936672956,0.9045
214,1.3681848853203313,1.2826121936672956,0.9045
215,1.4916837484848484,1.2826121936672956,0.9045
216,1.8408285107355424,1.2826121936672956,0.9045
217,1.4776275741921938,1.2826121936672956,0.9045
218,1.403483213122758,1.2826121936672956,0.9045
219,1.7572353638540619,1.2826121936672956,0.9045
220,1.3400539595492864,1.2826121936672956,0.9045
221,1.4322394223343144,1.2826121936672956,0.9045
222,1.650024356063969,1.2826121936672956,0.9045
223,1.3597912998909798,1.2826121936672956,0.9045
224,1.1996967000528878,1.2826121936672956,0.9045
225,2.0472858382340924,1.2826121936672956,0.9045
226,1.8727193976730292,1.2826121936672956,0.9045
227,1.435263078796144,1.2826121936672956,0.9045
228,1.7578386490876432,1.2826121936672956,0.9045
229,1.8809841532496938,1.2826121936672956,0.9045
230,1.4968976783864867,1.2826121936672956,0.9045
231,1.2263159888932742,1.2826121936672956,0.9045
232,1.3052045463224495,1.2826121936672956,0.9045
233,1.2773482959866045,1.2826121936672956,0.9045
234,1.5654964579211104,1.2826121936672956,0.9045
235,1.6984844551876015,1.2826121936672956,0.9045
236,1.8851979126007317,1.2826121936672956,0.9045
237,1.4464702453791887,1.2826121936672956,0.9045
238,1.9035458374563043,1.2826121936672956,0.9045
239,1.9921931637476684,1.2826121936672956,0.9045
240,1.5884970277207093,1.2826121936672956,0.9045
241,1.739093409826045,1.2826121936672956,0.9045
242,1.73972895391284,1.2826121936672956,0.9045
243,1.5192417443281165,1.2826121936672956,0.9045
244,1.3818775389841522,1.2826121936672956,0.9045
245,1.337722300727997,1.2826121936672956,0.9045
246,1.837029915581694,1.2826121936672956,0.9045
247,1.4780421311906167,1.2826121936672956,0.9045
248,1.3094037661333446,1.2826121936672956,0.9045
249,1.325842694442794,1.2826121936672956,0.9045
250,1.9153219233711267,1.2826121936672956,0.9045
251,1.4518945498283016,1.2826121936672956,0.9045
252,1.293829644308439,1.2826121936672956,0.9045
253,1.6334452698373223,1.2826121936672956,0.9045
254,1.5686335551961097,1.2826121936672956,0.9045
255,1.6391456272138465,1.2826121936672956,0.9045
256,1.6103076800181018,1.2826121936672956,0.9045
257,1.4771021756337013,1.2826121936672956,0.9045
258,1.8147364312672984,1.2826121936672956,0.9045
259,1.7705523174711255,1.2826121936672956,0.9045
260,1.946083282139311,1.2826121936672956,0.9045
261,1.3811912885386481,1.2826121936672956,0.9045
262,1.3716804053267846,1.2826121936672956,0.9045
263,1.792369096601539,1.2826121936672956,0.9045
264,1.261637397606728,1.2826121936672956,0.9045
265,1.6145141020462774,1.2826121936672956,0.9045
266,1.6690984484687221,1.2826121936672956,0.9045
267,1.520343798459941,1.2826121936672956,0.9045
268,1.458392453749423,1.2826121936672956,0.9045
269,1.6781533638756263,1.2826121936672956,0.9045
270,1.6181656468789227,1.2826121936672956,0.9045
271,1.585280601648798,1.2826121936672956,0.9045
272,1.1468974056056953,1.2826121936672956,0.9045
273,1.0986825516245495,1.2826121936672956,0.9045
274,1.6532928485172405,1.2826121936672956,0.9045
275,1.4840423849810847,1.2826121936672956,0.9045
276,1.6567196203173733,1.2826121936672956,0.9045
277,1.578804179534407,1.2826121936672956,0.9045
278,1.7883549399814918,1.2826121936672956,0.9045
279,1.5093415054241157,1.2826121936672956,0.9045
280,1.5590515825953253,1.2826121936672956,0.9045
281,1.8650317422461264,1.2826121936672956,0.9045
282,2.0484069213918383,1.2826121936672956,0.9045
283,1.5939894241601211,1.2826121936672956,0.9045
284,1.574526314914384,1.2826121936672956,0.9045
285,1.6420656001818177,1.2826121936672956,0.9045
286,1.6856302593648977,1.2826121936672956,0.9045
287,1.4424917086816849,1.2826121936672956,0.9045
288,1.7121734225748235,1.2826121936672956,0.9045
289,1.4494653535901783,1.2826121936672956,0.9045
290,1.4329498144050374,1.2826121936672956,0.9045
291,1.4500270445648682,1.2826121936672956,0.9045
292,1.1446010121479375,1.2826121936672956,0.9045
293,1.5598814254591387,1.2826121936672956,0.9045
294,1.7275287918108597,1.2826121936672956,0.9045
295,1.511152942875057,1.2826121936672956,0.9045
296,1.3347748193274958,1.2826121936672956,0.9045
297,1.6061503035343545,1.2826121936672956,0.9045
298,1.665781920443226,1.2826121936672956,0.9045
299,1.568977743564186,1.2826121936672956,0.9045
300,1.5716049845354412,1.2826121936672956,0.9045
301,1.5015765014762694,1.2826121936672956,0.9045
302,1.4915472602751592,1.2826121936672956,0.9045
303,1.378670119913956,1.2826121936672956,0.9045
304,1.6075833094167844,1.2826121936672956,0.9045
305,1.9651553808964202,1.2826121936672956,0.9045
306,1.350055501954897,1.2826121936672956,0.9045
307,1.6409693354353205,1.2826121936672956,0.9045
308,1.2986259800524496,1.2826121936672956,0.9045
309,1.502085488933819,1.2826121936672956,0.9045
310,1.6892747588652304,1.2826121936672956,0.9045
311,1.8033007643849088,1.2826121936672956,0.9045
312,1.7127027166275632,1.2826121936672956,0.9045
313,1.6366639966766092,1.2826121936672956,0.9045
314,1.9661158176888234,1.2826121936672956,0.9045
315,0.9767047790103697,1.2826121936672956,0.9045
316,1.4439864091769272,1.2826121936672956,0.9045
317,1.051941653700133,1.2826121936672956,0.9045
318,1.4709265580418314,1.2826121936672956,0.9045
319,1.5589692486785198,1.2826121936672956,0.9045
320,1.834429263045942,1.2826121936672956,0.9045
321,1.5307043402216438,1.2826121936672956,0.9045
322,1.56073226259737,1.2826121936672956,0.9045
323,1.659469250150376,1.2826121936672956,0.9045
324,1.4731525213242058,1.2826121936672956,0.9045
325,1.559781643935122,1.2826121936672956,0.9045
326,1.4684360295587706,1.2826121936672956,0.9045
327,1.594462641855971,1.2826121936672956,0.9045
328,1.4205180806405888,1.2826121936672956,0.9045
329,1.7488039984552752,1.2826121936672956,0.9045
330,1.4272195083913068,1.2826121936672956,0.9045
331,1.6693511904436407,1.2826121936672956,0.9045
332,1.683746778617249,1.2826121936672956,0.9045
333,1.569668859289529,1.2826121936672956,0.9045
334,1.6905144186305363,1.2826121936672956,0.9045
335,1.2029819778210527,1.2826121936672956,0.9045
336,1.5914264872535424,1.2826121936672956,0.9045
337,1.3340214024384183,1.2826121936672956,0.9045
338,1.807428720674062,1.2826121936672956,0.9045
339,1.652124550260691,1.2826121936672956,0.9045
340,1.6202029430226497,1.2826121936672956,0.9045
341,1.224234205803446,1.2826121936672956,0.9045
342,1.5991503884199372,1.2826121936672956,0.9045
343,1.5134842052423234,1.2826121936672956,0.9045
344,1.6157784043051324,1.2826121936672956,0.9045
345,1.5393144398116076,1.2826121936672956,0.9045
346,1.6520504319079616,1.2826121936672956,0.9045
347,1.6545232702456183,1.2826121936672956,0.9045
348,1.4439176014874613,1.2826121936672956,0.9045
349,1.6536684156655477,1.2826121936672956,0.9045
350,1.820610715336307,1.2826121936672956,0.9045
351,1.3870937784698734,1.2826121936672956,0.9045
352,1.8616751663622042,1.2826121936672956,0.9045
353,1.8202833644845238,1.2826121936672956,0.9045
354,1.6630335262510345,1.2826121936672956,0.9045
355,1.6556232288210626,1.2826121936672956,0.9045
356,0.8140956663220155,1.2826121936672956,0.9045
357,1.6010264501563696,1.2826121936672956,0.9045
358,1.1578417790632782,1.2826121936672956,0.9045
359,1.0912735919937175,1.2826121936672956,0.9045
360,1.267911853034325,1.2826121936672956,0.9045
361,1.892089300312416,1.2826121936672956,0.9045
362,1.6349484737653643,1.2826121936672956,0.9045
363,1.9922947970424336,1.2826121936672956,0.9045
364,1.7235478721067552,1.2826121936672956,0.9045
365,1.1304714110178868,1.2826121936672956,0.9045
366,1.8525181689835915,1.2826121936672956,0.9045
367,1.7015088810007373,1.2826121936672956,0.9045
368,1.5930905258975396,1.2826121936672956,0.9045
369,1.460661383908577,1.2826121936672956,0.9045
370,1.5617024097977086,1.2826121936672956,0.9045
371,1.545079841609275,1.2826121936672956,0.9045
372,1.5273550116734973,1.2826121936672956,0.9045
373,1.5315533742770362,1.2826121936672956,0.9045
374,1.4864177454696275,1.2826121936672956,0.9045
375,1.6403284870973953,1.2826121936672956,0.9045
376,1.6148539517620677,1.2826121936672956,0.9045
377,1.3988708660944769,1.2826121936672956,0.9045
378,1.5819051961088304,1.2826121936672956,0.9045
379,1.8140961657239008,1.2826121936672956,0.9045
380,1.3987431846521348,1.2826121936672956,0.9045
381,1.5109442500237382,1.2826121936672956,0.9045
382,1.879213085571885,1.2826121936672956,0.9045
383,1.817960591439326,1.2826121936672956,0.9045
384,1.1305900122077044,1.2826121936672956,0.9045
385,1.3043691325543203,1.2826121936672956,0.9045
386,1.6049399484603772,1.2826121936672956,0.9045
387,1.5419973477037692,1.2826121936672956,0.9045
388,1.6609022505274245,1.2826121936672956,0.9045
389,1.6625797525054915,1.2826121936672956,0.9045
390,1.630088082482086,1.2826121936672956,0.9045
391,1.5827110524228951,1.2826121936672956,0.9045
