factor,signal_date,date,n_stocks,raw_ic,rank_ic
roe,2023-03-31,2023-04-30,73,0.13131997753910052,0.13985560903369124
roe,2023-04-30,2023-05-31,73,0.01329963061936271,0.04970381340244356
roe,2023-05-31,2023-06-30,73,0.07358638355733223,0.13242009132420093
roe,2023-06-30,2023-07-31,73,0.4033303987979825,0.43175367147969895
roe,2023-07-31,2023-08-31,73,-0.1265912048950256,-0.009687769961742566
roe,2023-08-31,2023-09-30,73,-0.04077769525540617,0.032765642354683454
roe,2023-09-30,2023-10-31,73,0.10998266612622015,0.11890657781068742
roe,2023-10-31,2023-11-30,73,-0.13775629917788385,-0.17471923978773296
roe,2023-11-30,2023-12-31,73,0.31184285924383315,0.29316302603973843
roe,2023-12-31,2024-01-31,73,0.006173304931320443,-0.1464272491669752
roe,2024-01-31,2024-02-29,73,-0.11049923110034333,-0.06914105886708627
roe,2024-02-29,2024-03-31,73,0.180753893923992,0.2922682956929532
roe,2024-03-31,2024-04-30,73,0.33538765669418324,0.3295384425521412
roe,2024-04-30,2024-05-31,73,0.20384163029511831,0.22726150808342588
roe,2024-05-31,2024-06-30,73,0.07231580485748379,0.05689250894730348
roe,2024-06-30,2024-07-31,73,-0.45579691003167605,-0.40386276687646555
roe,2024-07-31,2024-08-31,73,-0.15695634234827405,-0.058034061458719005
roe,2024-08-31,2024-09-30,73,-0.3373212078318302,-0.329260767616932
roe,2024-09-30,2024-10-31,73,0.04371966623174346,0.09660002468221648
roe,2024-10-31,2024-11-30,73,-0.10864762644760471,-0.09431691965938543
roe,2024-11-30,2024-12-31,73,-0.029180959963110174,-0.020455386893743058
roe,2024-12-31,2025-01-31,73,0.07134088598773888,0.17452004289087342
roe,2025-01-31,2025-02-28,73,-0.12587639726398567,-0.14553251882019008
roe,2025-02-28,2025-03-31,73,0.017119410080587354,0.06179809946933236
roe,2025-03-31,2025-04-30,73,-0.07646647808907106,-0.07015920029618661
roe,2025-04-30,2025-05-31,73,-0.031336454759388205,0.0023756633345674446
roe,2025-05-31,2025-06-30,73,0.0911093127941682,0.18058126619770457
roe,2025-06-30,2025-07-31,73,-0.2606326564690164,-0.2761322966802419
roe,2025-07-31,2025-08-31,73,-0.1637657392139352,-0.26406886338393193
roe,2025-08-31,2025-09-30,73,0.03989821671350575,0.04186720967542886
roe,2025-09-30,2025-10-31,73,0.19208186812480588,0.19702579291620392
roe,2025-10-31,2025-11-30,73,0.18244482058309763,0.19967913118598052
roe,2025-11-30,2025-12-31,73,0.09379054216301062,0.08669628532642233
roe,2025-12-31,2026-01-31,73,0.1632093199637928,0.2706405035172159
roe,2026-01-31,2026-02-28,73,0.12324697848691282,0.10363445637418242
roe,2026-02-28,2026-03-31,73,-0.007278231441351817,-0.1416450697272615
roe,2026-03-31,2026-04-30,73,-0.0351065445432927,-0.1421078612859435
roe,2026-04-30,2026-05-31,73,0.005269631678492197,-0.08978156238430211
pe,2023-03-31,2023-04-30,67,-0.043856732481182326,-0.016042780748663103
pe,2023-04-30,2023-05-31,67,-0.0030539131607445025,-0.0842844600526778
pe,2023-05-31,2023-06-30,67,-0.18627413149111396,-0.027496208795594227
pe,2023-06-30,2023-07-31,67,0.277702256605351,0.3478729347912843
pe,2023-07-31,2023-08-31,67,0.1722214306855056,0.07047649453268418
pe,2023-08-31,2023-09-30,67,0.18491799173872345,0.25472902865352387
pe,2023-09-30,2023-10-31,67,-0.10384952713475216,-0.0737089951312954
pe,2023-10-31,2023-11-30,67,-0.24951937871953245,-0.17918429244153566
pe,2023-11-30,2023-12-31,67,0.017860589652117575,0.10611381594700296
pe,2023-12-31,2024-01-31,67,0.17997704990336477,-0.06564769734216619
pe,2024-01-31,2024-02-29,67,-0.041662274713905635,-0.19067762790326445
pe,2024-02-29,2024-03-31,67,0.061991054446998047,0.34468034160747074
pe,2024-03-31,2024-04-30,66,0.11614830562327354,0.3195699822565495
pe,2024-04-30,2024-05-31,66,0.0654455568853779,0.21411126187245597
pe,2024-05-31,2024-06-30,66,-0.15305091753490335,-0.07437636989875797
pe,2024-06-30,2024-07-31,66,-0.12209264902241374,-0.14843962008141115
pe,2024-07-31,2024-08-31,66,-0.08496394766994682,0.1704414987997078
pe,2024-08-31,2024-09-30,66,0.17157385153409677,0.07867654733326376
pe,2024-09-30,2024-10-31,66,-0.20859244452509873,-0.1725289635737397
pe,2024-10-31,2024-11-30,66,-0.11497992045819265,0.14727063980795327
pe,2024-11-30,2024-12-31,66,0.04231551691896664,-0.01567686045297986
pe,2024-12-31,2025-01-31,66,-0.08510761726265598,-0.0110845536437897
pe,2025-01-31,2025-02-28,66,-0.25879700834639613,-0.19398810145078807
pe,2025-02-28,2025-03-31,66,0.014122569955169736,0.1367498173468323
pe,2025-03-31,2025-04-30,55,-0.0026381439040157216,0.03383838383838385
