factor,signal_date,ticker,method,weight
roe,2023-03-31,AKBNK,portfolio_sort,0.06666666666666667
roe,2023-03-31,ALARK,portfolio_sort,0.06666666666666667
roe,2023-03-31,ANHYT,portfolio_sort,0.06666666666666667
roe,2023-03-31,CLEBI,portfolio_sort,0.06666666666666667
roe,2023-03-31,DOAS,portfolio_sort,0.06666666666666667
roe,2023-03-31,FROTO,portfolio_sort,0.06666666666666667
roe,2023-03-31,GARAN,portfolio_sort,0.06666666666666667
roe,2023-03-31,ISGYO,portfolio_sort,0.06666666666666667
roe,2023-03-31,IZMDC,portfolio_sort,0.06666666666666667
roe,2023-03-31,PGSUS,portfolio_sort,0.06666666666666667
roe,2023-03-31,TKNSA,portfolio_sort,0.06666666666666667
roe,2023-03-31,TOASO,portfolio_sort,0.06666666666666667
roe,2023-03-31,TTRAK,portfolio_sort,0.06666666666666667
roe,2023-03-31,TUPRS,portfolio_sort,0.06666666666666667
roe,2023-03-31,YKBNK,portfolio_sort,0.06666666666666667
roe,2023-03-31,ADEL,portfolio_sort,-0.06666666666666667
roe,2023-03-31,AKGRT,portfolio_sort,-0.06666666666666667
roe,2023-03-31,ASELS,portfolio_sort,-0.06666666666666667
roe,2023-03-31,BANVT,portfolio_sort,-0.06666666666666667
roe,2023-03-31,DOHOL,portfolio_sort,-0.06666666666666667
roe,2023-03-31,EKGYO,portfolio_sort,-0.06666666666666667
roe,2023-03-31,ENKAI,portfolio_sort,-0.06666666666666667
roe,2023-03-31,GOZDE,portfolio_sort,-0.06666666666666667
roe,2023-03-31,GUBRF,portfolio_sort,-0.06666666666666667
roe,2023-03-31,HURGZ,portfolio_sort,-0.06666666666666667
roe,2023-03-31,INDES,portfolio_sort,-0.06666666666666667
roe,2023-03-31,KRDMD,portfolio_sort,-0.06666666666666667
roe,2023-03-31,PETKM,portfolio_sort,-0.06666666666666667
roe,2023-03-31,SELEC,portfolio_sort,-0.06666666666666667
roe,2023-03-31,VESTL,portfolio_sort,-0.06666666666666667
roe,2023-04-30,AKBNK,portfolio_sort,0.06666666666666667
roe,2023-04-30,ALARK,portfolio_sort,0.06666666666666667
roe,2023-04-30,ANHYT,portfolio_sort,0.06666666666666667
roe,2023-04-30,CLEBI,portfolio_sort,0.06666666666666667
roe,2023-04-30,DOAS,portfolio_sort,0.06666666666666667
roe,2023-04-30,FROTO,portfolio_sort,0.06666666666666667
roe,2023-04-30,GARAN,portfolio_sort,0.06666666666666667
roe,2023-04-30,ISGYO,portfolio_sort,0.06666666666666667
roe,2023-04-30,IZMDC,portfolio_sort,0.06666666666666667
roe,2023-04-30,PGSUS,portfolio_sort,0.06666666666666667
roe,2023-04-30,TKNSA,portfolio_sort,0.06666666666666667
roe,2023-04-30,TOASO,portfolio_sort,0.06666666666666667
roe,2023-04-30,TTRAK,portfolio_sort,0.06666666666666667
roe,2023-04-30,TUPRS,portfolio_sort,0.06666666666666667
roe,2023-04-30,YKBNK,portfolio_sort,0.06666666666666667
roe,2023-04-30,ADEL,portfolio_sort,-0.06666666666666667
roe,2023-04-30,AKGRT,portfolio_sort,-0.06666666666666667
roe,2023-04-30,ASELS,portfolio_sort,-0.06666666666666667
roe,2023-04-30,BANVT,portfolio_sort,-0.06666666666666667
roe,2023-04-30,DOHOL,portfolio_sort,-0.06666666666666667
roe,2023-04-30,EKGYO,portfolio_sort,-0.06666666666666667
roe,2023-04-30,ENKAI,portfolio_sort,-0.06666666666666667
roe,2023-04-30,GOZDE,portfolio_sort,-0.06666666666666667
roe,2023-04-30,GUBRF,portfolio_sort,-0.06666666666666667
roe,2023-04-30,HURGZ,portfolio_sort,-0.06666666666666667
roe,2023-04-30,INDES,portfolio_sort,-0.06666666666666667
roe,2023-04-30,KRDMD,portfolio_sort,-0.06666666666666667
roe,2023-04-30,PETKM,portfolio_sort,-0.06666666666666667
roe,2023-04-30,SELEC,portfolio_sort,-0.06666666666666667
roe,2023-04-30,VESTL,portfolio_sort,-0.06666666666666667
roe,2023-05-31,AKBNK,portfolio_sort,0.06666666666666667
roe,2023-05-31,ALARK,portfolio_sort,0.06666666666666667
roe,2023-05-31,ANHYT,portfolio_sort,0.06666666666666667
roe,2023-05-31,CLEBI,portfolio_sort,0.06666666666666667
