date,ticker,score,size_before_order,close
2022-04-01,BAGFS,0.28234084691515915,0.0,15.052484512329102
2022-04-01,TCELL,-0.2517433837720214,0.0,19.65377616882324
2022-04-01,ANSGR,-0.3890173787606962,0.0,1.2188886404037476
2022-05-05,BAGFS,0.11601886334876665,6643.0,15.35114574432373
2022-05-05,ANSGR,-0.36777616620204,82041.0,1.409908413887024
2022-05-05,TCELL,-0.38594302365980515,5088.0,18.85699844360352
2022-06-01,BAGFS,0.24533666174721128,0.0,17.471633911132812
2022-06-01,ANSGR,-0.40638158509475236,82041.0,1.300754189491272
2022-06-01,TCELL,-0.512501293421777,0.0,17.166067123413086
2022-07-01,BAGFS,0.641797595443701,0.0,15.13212776184082
2022-07-01,ANSGR,-0.30554840220753915,82041.0,1.303028225898743
2022-07-01,TCELL,-0.5406221737118452,0.0,14.678359985351562
2022-07-01,DOCO,-0.6352513506307633,0.0,1394.0303955078125
2022-08-01,BAGFS,0.7868124895019732,6608.0,18.09882164001465
2022-08-01,ANSGR,-0.302510219915835,82041.0,1.4963222742080688
2022-08-01,TCELL,-0.5137609617243413,6812.0,15.77888298034668
2022-08-01,DOCO,-0.5614460556061804,71.0,1499.4798583984375
2022-09-01,BAGFS,0.796920910379642,0.0,22.85747528076172
2022-09-01,ANSGR,-0.26938057960818274,0.0,1.8419772386550903
2022-09-01,TCELL,-0.5200415215576324,0.0,19.629844665527344
2022-09-01,DOCO,-0.7276532164849459,71.0,1441.5076904296875
2022-10-03,BAGFS,0.8597273922532089,0.0,24.21140480041504
2022-10-03,ANSGR,-0.179021661969751,54289.0,2.096670389175415
2022-10-03,TCELL,-0.5679289181701406,5094.0,19.88596534729004
2022-10-03,DOCO,-0.933842812658761,0.0,1278.486083984375
2022-11-01,BAGFS,1.23055563123985,0.0,38.66656875610352
2022-11-01,ANSGR,-0.2557077638794446,54289.0,2.137603044509888
2022-11-01,TCELL,-0.5017445710217087,5094.0,24.60591125488281
2022-11-01,DOCO,-1.0060486598889233,78.0,1462.8974609375
2022-12-01,BAGFS,1.0107924338160048,2586.0,43.166385650634766
2022-12-01,ANSGR,0.08381882840853583,0.0,3.790834426879883
2022-12-01,TCELL,-0.5277584162814497,0.0,31.850473403930664
2022-12-01,DOCO,-1.099907495555224,0.0,1799.3359375
2023-01-02,BAGFS,0.36654313210696826,2586.0,40.358978271484375
2023-01-02,ANSGR,-0.12239145473980423,26379.0,3.8067526817321777
2023-01-02,TCELL,-0.5312835373881529,3139.0,36.68019104003906
2023-01-02,DOCO,-1.2256393633250176,55.0,1797.9366455078125
2023-02-01,BAGFS,0.3374974684538022,0.0,27.75550651550293
2023-02-01,ANSGR,0.27802328384684005,26379.0,3.704421043395996
2023-02-01,TCELL,-0.39549074151219044,3139.0,31.832181930541992
2023-02-01,DOCO,-1.0515824925052972,55.0,1990.244140625
2023-03-01,ANSGR,0.2596817059329765,0.0,3.838589191436768
2023-03-01,BAGFS,0.2580238940356042,0.0,30.861576080322266
2023-03-01,TCELL,-0.6160892426722295,0.0,29.124616622924805
2023-03-01,DOCO,-0.975275841190355,55.0,2155.86474609375
2023-04-03,PGSUS,1.4476394006155857,0.0,93.42008972167967
