date,ADEL,AEFES,AKBNK,AKCNS,AKENR,AKGRT,AKSA,AKSEN,ALARK,ALBRK,ALKIM,ANELE,ANHYT,ANSGR,ARCLK,ASELS,AYGAZ,BAGFS,BANVT,BIMAS,BIZIM,BRISA,BRSAN,CCOLA,CIMSA,CLEBI,DOAS,DOCO,DOHOL,ECILC,EKGYO,ENKAI,EREGL,FROTO,GARAN,GOZDE,GUBRF,HALKB,HURGZ,INDES,ISCTR,ISGYO,IZMDC,KCHOL,KORDS,KRDMD,MGROS,NTHOL,OTKAR,PETKM,PGSUS,SAHOL,SELEC,SISE,SKBNK,SNGYO,TAVHL,TCELL,THYAO,TKFEN,TKNSA,TMSN,TOASO,TRCAS,TRGYO,TSKB,TTKOM,TTRAK,TUPRS,ULKER,VAKBN,VESTL,XBANK,XU030,XU100,XUSIN,YKBNK
2000-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247.76300048828125,204.9960021972656,167.14910888671875,117.2519989013672,
2000-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,244.39599609375,199.99200439453125,159.45816040039062,110.27999877929688,
2000-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.5039978027344,198.6479949951172,159.20016479492188,111.83599853515624,
2000-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290.40399169921875,238.29200744628903,192.0559844970703,138.33399963378906,
2000-05-31,0.5199204087257385,-350231.65625,-101438.109375,-21332.931640625,,-3647.354736328125,-70580.703125,,1.1124390363693235,,,,5.109955310821533,5.012800216674805,2.859947919845581,6.215275764465332,-602979.3125,0.3467091917991638,-81368.3046875,,,0.3592734038829803,-15259.7177734375,7.748456954956055,-3485.037841796875,13.527579307556152,,,1.2701592445373535,-9485.1669921875,,,-13265.029296875,23405266.0,0.3969917893409729,,0.1059526279568672,,-48530.10546875,,,0.7093153595924377,1.4123443365097046,-39100.69140625,2.5656003952026367,0.0742006078362464,-99822.8125,4.209918022155762,5.496166706085205,0.4905951619148254,,-45647.8515625,,-4854.48779296875,0.4157328009605407,,,,0.0014549281913787,,,,0.3600272536277771,0.6553201079368591,,0.3231023252010345,,,172847296.0,,,4.049819469451904,253.35499572753903,201.94700622558597,162.06314086914062,115.81199645996094,11.433865547180176
2000-06-30,0.4632017910480499,-327265.75,-10223.97265625,-19910.734375,,-3504.310546875,-322.162841796875,,0.8719119429588318,,,,3.979063272476196,0.1710580736398697,2.12654185295105,0.0926137864589691,-13983.28515625,0.2908828258514404,-81368.3046875,,,0.3592734038829803,-10681.9765625,6.425549030303955,-3211.69091796875,8.822334289550781,,,1.3382041454315186,-7296.298828125,,,-11635.9501953125,23055930.0,0.3766330778598785,,0.0903710350394249,,-26635.1328125,,,0.5785788893699646,0.0620002150535583,-2919.705810546875,2.2157461643218994,0.0632186084985733,-31026.0078125,2.3680787086486816,0.4972720444202423,0.4483024775981903,,-42180.921875,,-4151.85498046875,0.4055938422679901,,,,0.001312676584348,,,,0.3909386694431305,0.5473851561546326,,0.2370890378952026,,,167687728.0,,,4.218561172485352,216.73800659179688,180.9320068359375,144.6602325439453,107.49199676513672,0.9132592678070068
2000-07-31,0.5293737053871155,-4992.62646484375,-9897.6748046875,-18082.1875,1.215545415878296,-3504.310546875,-269.0583190917969,,0.8418458700180054,,,,3.853408098220825,0.1560199409723281,1.6041160821914673,0.0940606966614723,-14972.0009765625,0.2938209772109985,-55889.33984375,,,0.4538189172744751,-9634.7158203125,6.80352258682251,-3075.03125,10.145685195922852,,,1.474292516708374,-7442.20947265625,,,-10705.0830078125,24802588.0,0.3664544224739074,,0.08725506067276,,-31600.9921875,,,0.5924868583679199,0.0610084161162376,-2488.385986328125,2.3615190982818604,0.0667799636721611,-28328.099609375,2.0297813415527344,0.4798237383365631,0.4567605555057525,,-38714.01171875,,-4151.85498046875,0.3599641919136047,,,-46.389102935791016,0.0012838661205023,,,,0.3727555871009826,0.5705139636993408,,0.2558354139328003,,,167687728.0,,,2.9248690605163574,210.75,172.0590057373047,138.70126342773438,103.46099853515624,0.8998295068740845
2000-08-31,0.6333577632904053,-4480.5556640625,-8810.021484375,-17472.681640625,1.0997796058654783,-3647.354736328125,-240.73825073242188,,0.8117800354957581,,,,3.476445436477661,0.1691782921552658,1.446718454360962,0.073801040649414,-16666.94921875,0.2585626244544983,-50957.93359375,,,0.4254551827907562,-8294.2412109375,5.953083038330078,-3006.68798828125,13.233501434326172,,,1.3608853816986084,-8025.92041015625,,,-10123.2919921875,25850588.0,0.3410060703754425,,0.081022247672081,,-32052.427734375,,,0.6954072713851929,0.0659683942794799,-2422.02880859375,1.341109275817871,0.0831043496727943,-24551.015625,1.992192506790161,0.4885481595993042,0.4398435950279236,,-36980.546875,,-4343.47900390625,0.3447543084621429,,,-37.22089767456055,0.0011983350850641,,,,0.3272975385189056,0.6784491539001465,,0.2370890378952026,,,152208784.0,,,2.9248690605163574,198.2949981689453,161.20700073242188,131.32029724121094,100.2699966430664,0.7386655807495117
2000-09-30,0.5860921144485474,-4800.6083984375,-7178.52734375,-14831.462890625,0.9068359732627868,-3075.217529296875,-177.0109100341797,,0.6839999556541443,,,,2.890055656433105,0.1466211527585983,1.0649452209472656,0.0586070716381073,-12712.076171875,0.2144890278577804,-50136.015625,,,0.2741824090480804,-7540.2197265625,4.819162845611572,-2405.35888671875,12.35126781463623,,,1.1340709924697876,-6274.81787109375,,,-8610.634765625,22007938.0,0.2850198447704315,,0.0716734752058982,,-27989.4453125,,,0.6397743821144104,0.0545607320964336,-1891.17333984375,1.049564003944397,0.0638122856616973,-21583.314453125,1.4283645153045654,0.3838590979576111,0.3552582859992981,,-30046.697265625,,-3960.23193359375,0.3447543084621429,,,-31.828453063964844,0.0009930605301633,,,,0.2545648217201233,0.5011274814605713,,0.1753352284431457,,,136729920.0,,,2.6998794078826904,169.93099975585938,139.49400329589844,113.5023956298828,89.13800048828125,0.6312235593795776
2000-10-31,0.6428107619285583,-5504.701171875,-9353.8486328125,-18082.1875,1.0611907243728638,-3790.38525390625,-208.87294006347656,,0.9320436120033264,,,,3.267019748687744,0.1729378551244735,1.4132293462753296,0.0766955837607383,-16666.94921875,0.2526862323284149,-55889.33984375,,,0.3356368541717529,-8545.5830078125,6.425549030303955,-3143.361572265625,16.76243782043457,,,1.0206639766693115,-8317.77734375,,,-9657.8623046875,30391910.0,0.3359164595603943,,0.0763474479317665,,-36566.87109375,,,0.7093153595924377,0.0620002150535583,-2687.456787109375,1.253645420074463,0.0697483569383621,-25899.970703125,1.6012718677520752,0.4885481595993042,0.532887876033783,,-39291.84375,,-4726.74365234375,0.339684396982193,,,-30.20633316040039,0.0015980803873389,,,,0.3418440818786621,0.5705139636993408,,0.1775410324335098,,,159948240.0,,,3.149859666824341,202.406005859375,168.302001953125,135.38328552246094,103.83899688720705,0.7520959973335266
