date,ADEL,AEFES,AKBNK,AKCNS,AKENR,AKGRT,AKSA,AKSEN,ALARK,ALBRK,ALKIM,ANELE,ANHYT,ANSGR,ARCLK,ASELS,AYGAZ,BAGFS,BANVT,BIMAS,BIZIM,BRISA,BRSAN,CCOLA,CIMSA,CLEBI,DOAS,DOCO,DOHOL,ECILC,EKGYO,ENKAI,EREGL,FROTO,GARAN,GOZDE,GUBRF,HALKB,HURGZ,INDES,ISCTR,ISGYO,IZMDC,KCHOL,KORDS,KRDMD,MGROS,NTHOL,OTKAR,PETKM,PGSUS,SAHOL,SELEC,SISE,SKBNK,SNGYO,TAVHL,TCELL,THYAO,TKFEN,TKNSA,TMSN,TOASO,TRCAS,TRGYO,TSKB,TTKOM,TTRAK,TUPRS,ULKER,VAKBN,VESTL,YKBNK
2023-10-31,,3.736625751035499,2.318058570359241,16.09500377065979,1.742380865289246,,5.39734026242814,7.4857293924557124,2.5341792887440198,5.781646789773993,28.276837522353134,11.798594798935426,12.16806068032763,20.239679250222597,13.376400808404242,146.3445066650532,3.7182461517153156,2.7459477528173326,,9.284527125464004,4.005856868699561,9.38128676551266,96.9342432423622,71.37479642881495,8.025976587384378,21.162911515388622,2.1643215701531404,968.4878225625417,149.94237909869193,9.319831819232279,25.83706204347079,1456.9448854004227,6.980563237739536,8.443751468534817,3.002229520729815,47.66936320568181,480.3355403026699,3.5624615962217856,,30.95358391361174,3.137089479711271,2.4022147923263004,2.023068051490683,4.2328570862929595,12.59944767769198,25.568519925359308,6.263942533242948,6.285102049087631,23.42983854664768,,10.157720727385822,2.497974641052593,51.01040971571119,6.171191543766921,8.207522065052375,0.6981530469008772,340.6848609723063,9.64461744851872,115.4425315042915,10.828258540918785,12.224570102510533,28.779201987273595,10.390423811668521,7.221155074898656,1.7569796372723587,4.496507320926382,9.7307091840842,14.291302310430918,3.4064539170658357,23.30177991571341,4.3637293095608625,,2.6460868022898114
2023-11-30,,4.150143126523466,2.6469616378425815,14.03301000744672,1.7597006547786023,,5.257228984971021,7.353275469880997,2.5298900167445293,5.573174829984481,28.29192689539111,12.86046788075894,10.625047145457396,22.610711411855377,13.38624998061467,173.2217137466715,3.634355727135744,3.277264357041534,,10.51336340860778,3.5379560091738043,10.218386219956892,70.73154152083525,78.64229658296634,7.523807440615037,19.062447258188786,2.1822818417569008,1169.5427042866565,144.68122672831933,10.233125178209951,29.0273074163877,1683.9638200656686,7.552136155852141,9.031153679868114,3.4525640313045423,56.03798434213664,556.3166775968516,3.5137348346767983,,35.8892076058021,3.2058723678157524,2.308967936278355,1.945387793805308,4.3782837501524146,12.652259503583727,25.41320008715052,6.672943583181086,6.536505891293521,25.90771261293996,,10.157720727385822,2.8458232182946537,53.36621264202562,6.421480582156376,8.639497036886235,0.8011180244054056,344.8468097642409,11.62377436994667,133.34593889690964,11.957747731454289,13.63154890072773,29.625648638032906,10.295455580697974,6.2115618200085,1.7695670937169414,4.7783780402458715,12.106400670035518,13.614991143177875,3.6705200954601085,27.528240653741562,3.7212170906336617,,2.9469181149843564
2023-12-31,,5.145578261564186,2.8735743946466425,13.5843354525783,1.4825825363709408,,6.274559930574919,6.353469370801561,2.273889039257452,5.309108827500143,25.711704543973184,14.441479763848559,9.863894975182358,20.65203091527433,12.657345104954294,159.53138398222407,3.6532986709395696,2.6760803919675995,,10.36778395879923,3.230080703922707,8.919438150793832,62.06732151271512,101.97786314335237,6.405934926086985,17.973163929903837,2.287302052400061,1324.0525180820823,121.22534142112363,9.336823523292841,27.097406204074087,1628.4066555960944,7.559511373740413,7.941185741155789,3.7272362786551465,36.75837508869482,225.1618597687883,3.243031062828173,,27.283121934684978,3.492965606314916,1.7217352859723298,1.9521426058234892,4.387566863846947,11.694098143965611,24.44605753993743,6.213859740498851,6.071408483515605,24.954683707139026,,9.358070152770553,2.8224776228556046,59.231687768877286,5.97304639763519,5.307119711221157,0.6855962897539347,319.5778624970336,11.48869810476256,121.44574508712867,9.788914108814128,11.417287738423552,24.90336434179355,9.065180543523581,5.5042767144732965,1.6625748210756934,4.39583949439394,12.339411398256802,14.03891799705349,3.432860558880787,26.306903946716147,3.437440958476874,,2.999103157316767
2024-01-31,,5.269072365944096,3.1112028887079455,16.32411251133031,1.6973491153013276,,5.674517290617886,7.6993626155532215,2.6930278089535244,5.89283241964287,28.835132812743776,16.034290511785514,11.023745396201127,24.449119070087296,13.947705401679624,179.46393790995785,3.986155213936414,2.2195057237373153,,13.134249725780554,3.704939023147835,10.380032678436335,64.27275933296389,103.82140440142159,7.183205662300448,20.778582339040547,2.4274770326688806,1245.6887436656973,145.01004675380847,10.012234777957756,39.58269386032438,1811.0973562370566,7.954081218610648,9.471434283721273,4.056203924727103,43.25553327922979,213.15713593049773,3.5272700749018764,,34.79055721148906,3.83388817389094,1.9848242653412012,2.110880768774463,4.972369487611107,12.554179740521077,27.61499081572067,7.577199546851384,8.49117301217196,28.561529723448462,,10.842106402711531,3.389774487058962,58.65475872151366,6.426695022771136,5.998279306186688,0.8538562128223864,411.14064519640914,14.038329541152397,144.90082036183873,11.0774878440084,15.18460788157555,27.992154226913296,10.636478493549197,7.169819138868703,1.9122230687692359,5.503188269679644,16.56398817846327,15.921949146876369,3.600903086527097,30.03518936912099,3.7908226533556886,,3.3521192068822248
2024-02-29,,5.826665768317774,3.271720561037538,14.987636302351188,1.925971591893331,,6.481681320036105,8.045449761225445,3.328010326056777,5.934527162389455,31.475712656313615,19.68005648468883,12.494267911444945,23.53850554038901,16.646625079667515,212.80309277502124,4.153935818218639,2.381987842956211,,13.384180572702792,4.038905382861655,14.77913433190346,74.87986503987459,125.5559947683991,7.641707869047226,27.99250970151462,2.378527085752963,1460.8194406289479,148.5174781159961,11.405537861840315,43.71819976480205,1837.3451319508067,8.392901652118464,10.921143632565677,4.030653165027889,44.66795750870044,293.6766550563578,3.9197904924497355,,49.94275792884446,4.149391432831296,1.9215497800766015,2.2527319822036946,5.20443375466838,14.49313757955422,27.63556877601553,9.149212800036153,9.132253109493996,29.675839299451706,,12.354958608839741,3.711943277639913,57.8374407078326,6.66785943244711,5.850173207306564,1.0045367397518445,518.7566233091383,13.710665336489388,149.68213459910862,12.4562083700265,19.413232861254816,43.36185164062962,11.54731404776574,7.489238653853383,1.9625724283843224,5.556877642992171,16.260060637571527,17.154297980943614,3.884173659413631,34.13308890631374,3.8095625143533653,,3.545510852317718
2024-03-31,23.6524628079075,2.755173751709852,3.4672387183676756,8.060897879084692,1.272644881186194,8.7702639983692,11.85474706291575,5.195803030049342,5.724694210917052,2.59398368675474,12.318388680035966,15.404185797466587,5.731581922456494,4.875888533752452,4.604555976417297,24.23292650974819,3.285503839281192,,11.287288181410258,9.251534941563468,33.53531574714047,6.1469572771397205,21.74991755266575,52.38450063208928,7.787764003176784,23.117762591061293,1.6648707789393449,1451.9480672153686,,8.008697925281982,,309.09577612565977,34.6662013846317,4.759366126095185,3.0872991770213356,,,5.788545593756955,,8.969376549983387,3.629911216154122,3.1108425183325252,6.747769473575477,4.139956407740261,93.85656202370009,11.536140049282992,5.519516739880775,3.8856402535070065,19.411383278153234,4.7103130873653845,3.977981808527817,6.9272751808949184,94.93021786290998,5.529366755663274,3.1745129341369647,3.644643422585222,266.9759826139891,5.805189312799478,66.4343962295742,,7.598708574073854,18.510903023573125,5.147069194765992,4.679677920832946,1.94459492263144,3.256209616121839,4.4758929983141496,6.224983024783253,3.367952109910921,7.313842937736546,4.560782670892423,13.375289304440807,3.2544585654752956
2024-04-30,27.291303603344446,3.2885492257621283,4.406313680142884,8.147226637278829,2.0342275988288874,10.409434124574629,14.287684194896043,5.778790225290177,5.111020640434516,2.980701503659243,15.453560586555106,17.498758388909458,7.370315235124387,6.415642964911111,5.382352594055353,26.241538600031287,4.416869070304589,,13.150308572995808,9.917850821624791,32.435535102252715,6.523924002845001,20.782486748099203,65.707195975755,8.1685183008397,25.337330030872437,1.6760831402393497,1486.6942677167713,,8.329045921592392,,341.0712733257604,35.70441811083936,4.856183062472186,3.7160268834867334,,,6.953938798221513,,9.205154509452836,4.483049972934134,3.3009146353131302,6.966359209980011,4.879748340482875,106.21867766548684,12.938377564309075,5.878618175220443,4.505132349115682,22.109434308900685,4.92171882558713,5.059327550303288,7.750152118133595,100.40878035479868,6.0268183529158605,3.7266023021323784,3.990485523872699,320.6336154578474,6.928497431672039,72.73758458714575,,7.513037028666729,19.89655564453497,5.515692333391018,4.845102438058316,2.1186396396481704,3.758640410664183,5.9609685313930765,6.187687690306632,3.9594603825161685,8.007396591216022,6.164574297269573,13.38330374791383,4.009343802563804
2024-05-31,23.415937628594147,3.6268663382646786,4.921433672110287,7.688607882555412,1.5301801740269672,10.54953471776323,14.545451925466525,7.0018620260616755,5.307386173923102,3.5637525425105667,14.181094891623651,15.379446175218783,12.217459789191054,8.176380025955083,5.631247511699532,25.334425648170868,4.21620476475668,,19.79459873969663,12.301210840885187,28.642090053546756,6.0324308038922485,17.059605705526153,69.07775313056206,7.923002230207635,29.55100936885544,1.789791088602917,1449.7303321780246,,8.457185384446987,,381.6893895115223,39.75080616112673,4.764639613593264,4.858553216867261,,,7.530231385030531,,8.743422428463372,5.267829174631905,3.5142172449939273,6.2250552017777165,5.140893632643047,95.87270241048981,14.459954341419916,6.416106531138038,4.493498706457826,25.74154768151856,4.840956991265265,4.826018990616897,8.473760451632614,92.90194283163207,6.01959372229539,3.957405943391488,4.336327625160177,350.96185722741654,8.540573976682124,67.55000534358892,,6.645145326268149,16.402815218857697,6.186993572646401,5.157571365696304,2.2409409428417923,4.238058566326083,6.808317360791974,6.715945582216727,3.573220575987891,9.562638922224908,6.935145785698795,13.415359076141147,4.014312124398726
2024-06-30,17.848512361292837,4.503510997567641,4.7472564129315105,7.73716759571785,1.5893029670724863,11.250034343460547,15.80973912547711,6.808577329952732,4.750574702513859,3.2841262292051203,13.138592312809513,13.565249677783768,16.785726742776486,7.627486337111008,5.4259090147513325,25.312824612297923,4.058378928379709,,25.10711972498286,13.966998089298626,27.813272809372858,5.820312814196683,15.582546173554015,74.92872625077234,7.963921491728886,35.298188722368394,1.5594218598727918,956.5222215385196,,8.40712516584287,,377.8339599445319,44.15374255765019,4.8997752349860555,5.065875411257114,,,7.790630812462068,,8.144154666620826,5.182811414032563,3.558567580903452,6.0539846974377225,4.894855570657654,98.84385751689007,15.66329308630474,7.155259028603858,5.581245543123042,27.83212456459513,5.164004328552729,5.450196639609656,8.369681634743175,85.166462193009,6.085050497322566,3.5624398916868865,4.691037393124808,378.3739223316168,8.626321863118795,68.88873209825775,,5.7623542092235445,15.242182444834413,6.813208155126805,5.418574808955053,2.523645992697429,4.495026835779188,7.13013293468608,6.27853461487396,3.346734741022549,11.916520018641544,6.903822207763129,12.621978085607354,4.198135768043602
2024-07-31,19.66793354648885,4.866198055569654,4.587902724890587,8.060897879084692,1.2566115748981859,9.120514145242428,14.921057309290727,6.378984455492401,4.631257834863915,3.730338725227819,12.724658411384379,13.359090877652505,15.510861653363134,7.242547579846352,5.226793270527742,26.99746743707535,3.866733576476758,,22.905698357792335,16.084959720319986,30.889465910431305,5.597847279892004,14.502824293457424,76.74297756093087,8.623746025584667,28.017505796009996,1.4206097253637247,926.3206040166037,,8.873733797679442,,427.95477236187315,46.47544328881503,4.333075102302345,5.579674038172244,,,7.269832771815379,,8.514354858004037,4.904868773223561,3.4381889644932317,5.7118445951203425,4.6423432368659565,103.93725586190234,15.036761249041653,7.121506994240319,4.95011980485651,25.78378155794435,5.734087518483592,5.356928828296014,8.61686899916394,110.22102115537157,5.702007426509917,3.3146179310783266,5.994596234384244,377.2803560821035,9.05506620737132,64.53786840302206,,5.807052453161618,15.27771236991078,5.610877221789772,5.150218927870024,2.45095435645841,4.832537616084772,7.543473868280601,5.211923822657859,3.3022460719353877,11.74838499459161,6.377577973002221,11.32371772708279,3.750997226616093
