date,mad_3,mad_5,mad_10,mad_20,mad_50,mad_100,mad_200,mad_400,mad_600,mad_800,mad_1000
2000-01-31,-0.05361616983667661,-0.052641727488362156,-0.06704912743036717,,,,,,,,
2000-02-29,0.02044180850902455,0.06336344699789165,0.062489123091361565,0.030514007646418317,,,,,,,
2000-03-31,-0.016419619552681897,-0.04609507365627141,-0.06554684281709056,-0.063078714918396,-0.04328075431247891,,,,,,
2000-04-30,0.02416197904592643,0.05276399268368648,0.09182788073352,0.11663579994907058,0.15177041681134118,,,,,,
2000-05-31,0.015862911713697914,0.011490203078778904,0.005789675441806308,-0.044976805463927794,-0.05472167341604073,-0.04153868379704506,,,,,
2000-06-30,-0.00602364921608578,-0.008596749557403638,-0.014068466719682537,-0.05267177536299783,-0.12300985361430472,-0.1213836648203479,,,,,
2000-07-31,-0.0024763807748747757,0.0009063726939244621,0.02356528844073802,0.0073597314820326165,-0.06274783188042088,-0.13738766789748158,,,,,
2000-08-31,-0.00011424556623618187,0.0007543967074088442,0.006730862171484109,-0.003892809244939399,-0.04057397990099654,-0.14004956085138032,,,,,
2000-09-30,0.003320756311815387,-0.001093057820524268,0.01821342353830757,-0.026744942649876258,-0.1059899387891643,-0.18793175428809683,,,,,
2000-10-31,0.012509538838139322,0.012916592260360682,0.008257675475603854,0.033643597236420186,0.08697330836360151,0.025879500515692877,-0.09906508140074655,,,,
2000-11-30,-0.059451181831128075,-0.1129335086733455,-0.19085791682619435,-0.2885136598566458,-0.30258203568975695,-0.3127428553969549,-0.39806963545810936,,,,
2000-12-31,0.017550034191280428,0.01819705251623338,0.007636400140058619,0.016014511553621436,-0.19161290638638417,-0.21529622713794716,-0.32631980229795454,,,,
2001-01-31,0.010764985214645417,-0.00021708804901376944,-0.016349530678462454,-0.01017697598326961,0.03418599726795479,-0.0693079054979191,-0.19708500585122768,,,,
2001-02-28,0.0014048428885840014,0.03252995813685944,0.008921442952303016,-0.053772825753210185,-0.11124911880483157,-0.20369410325050974,-0.2936418539911815,,,,
2001-03-31,0.05574803466879641,0.02623036208361973,-0.020055292759340593,-0.05447497187129091,-0.14595311385492882,-0.21773040921066422,-0.31842593670336283,,,,
2001-04-30,0.04159686502733617,0.10690852233044335,0.20683113776841777,0.3280565369635149,0.38903586773919896,0.3066261076628982,0.10356156661025295,,,,
2001-05-31,0.00035240764971744554,-0.025570350028389144,-0.07394219257625734,-0.09064585844706596,0.04951965987634965,0.07982713182433954,-0.011621798728205457,,,,
