source,selected_score,base_final_value,base_simple_return,base_sharpe_analyzer,base_max_drawdown_pct,improved_final_value,improved_simple_return,improved_sharpe_analyzer,improved_max_drawdown_pct,monte_carlo_actual_sharpe,monte_carlo_p_value,best_vectorized_trial,best_vectorized_sharpe,best_vectorized_avg_monthly_return,best_vectorized_max_drawdown,walk_forward_steps,walk_forward_compounded_test_return,walk_forward_mean_test_sharpe,walk_forward_positive_window_pct
Yahoo adjusted prices + Yahoo fundamentals,composite_all4,3078262.442007119,2.078262442007119,0.3028752460464161,23.83537660099015,1921929.2486648927,0.9219292486648928,0.3737803413349416,18.02964327045689,1.2826121936672956,0.9045,equal_all_top15_no_regime,1.469968724207196,0.0452201668351968,-0.2628470451856337,44.0,131.19903543631145,1.1251624780485412,0.75
BIST public prices/indexes + Yahoo fundamentals,composite_all4,2812164.4400000004,1.8121644400000003,0.5355008642285596,24.18558989039824,2092916.8400000008,1.0929168400000009,0.76221466100718,14.532354520431824,1.2031891893407138,0.7595,price_trend_top15_no_regime,1.333786347411732,0.0357261770439844,-0.3043636340987488,14.0,14.656006981985584,1.111435546847567,0.7142857142857143
BIST minus Yahoo,,-266098.0020071184,-0.26609800200711864,0.2326256181821435,0.35021328940809227,170987.59133510804,0.1709875913351081,0.38843431967223846,-3.497288750025067,-0.07942300432658178,-0.14500000000000002,,-0.13618237679546397,-0.009493989791212402,-0.041516588913115104,-30.0,-116.54302845432586,-0.013726931200974235,-0.0357142857142857
